spygen_code,label,prediction,residual
SPY231707,0,0,0
SPY231708,0,0,0
SPY231709,0,0,0
SPY231710,0,0,0
SPY231711,0,0,0
SPY231712,0,0,0
SPY231713,0,0,0
SPY231714,0,0,0
SPY231715,0,0,0
SPY231716,0,0,0
SPY231717,0,0,0
SPY231718,0,0,0
SPY231719,0,0,0
SPY231720,0,0,0
SPY231721,0,0,0
SPY231722,0,0,0
SPY231727,0,0,0
SPY231728,0,0,0
SPY231729,0,0,0
SPY231730,0,0,0
SPY231731,4,0,4
SPY231732,4,0,4
SPY231733,4,0,4
SPY231734,4,0,4
SPY231752,3,0,3
SPY231753,3,0,3
SPY231754,0,0,0
SPY231755,0,0,0
SPY231756,0,0,0
SPY231757,0,0,0
SPY231758,4,0,4
SPY231759,4,0,4
SPY231760,4,0,4
SPY231761,4,0,4
SPY231762,0,0,0
SPY231763,0,0,0
SPY231764,0,0,0
