spygen_code,label,prediction,residual
SPY201176,0,3,-3
SPY201179,0,0,0
SPY202492,0,2,-2
SPY202499,0,3,-3
SPY231655,0,0,0
SPY231656,0,0,0
SPY231657,0,1,-1
SPY231658,0,1,-1
SPY231659,0,0,0
SPY231665,0,0,0
SPY231666,0,0,0
SPY231667,0,0,0
SPY231668,0,0,0
SPY231762,0,1,-1
SPY231763,0,0,0
SPY231764,0,0,0
SPY231765,0,0,0
SPY231766,0,0,0
SPY231767,0,0,0
SPY231794,0,0,0
SPY231796,0,2,-2
SPY231797,0,1,-1
SPY231798,0,0,0
SPY231899,0,1,-1
SPY231900,0,0,0
SPY231901,0,0,0
SPY231902,0,0,0
SPY231907,0,0,0
SPY231908,0,0,0
SPY201153,0,0,0
SPY201161,0,2,-2
SPY201162,0,0,0
SPY201164,0,2,-2
SPY201180,0,2,-2
SPY201186,0,2,-2
SPY201190,0,3,-3
SPY201958,0,0,0
SPY202493,0,3,-3
SPY202515,0,2,-2
SPY210646,0,0,0
SPY210666,0,0,0
SPY210681,0,0,0
SPY210682,0,0,0
SPY210684,0,0,0
SPY210685,0,0,0
SPY210686,0,0,0
SPY210687,0,1,-1
SPY210688,0,2,-2
SPY210689,0,0,0
SPY210690,0,0,0
SPY210691,0,0,0
SPY210692,0,0,0
SPY210693,0,2,-2
SPY210694,0,0,0
SPY211263,0,0,0
SPY211289,0,0,0
SPY211301,0,0,0
SPY211304,0,0,0
SPY231713,0,0,0
SPY231714,0,0,0
SPY231715,0,1,-1
SPY231716,0,0,0
SPY231717,0,2,-2
SPY231718,0,1,-1
SPY231719,0,1,-1
SPY231720,0,2,-2
SPY231721,0,1,-1
SPY231722,0,1,-1
SPY231723,0,0,0
SPY231724,0,1,-1
SPY231725,0,3,-3
SPY231726,0,2,-2
SPY231885,0,0,0
SPY231886,0,0,0
SPY211069,0,0,0
SPY211070,0,1,-1
SPY211071,0,3,-3
SPY211072,0,3,-3
SPY181699,1,3,-2
SPY192310,1,3,-2
SPY211048,1,0,1
SPY211062,1,1,0
SPY211138,1,3,-2
SPY211170,1,2,-1
SPY211182,1,3,-2
SPY211183,1,3,-2
SPY212710,1,2,-1
SPY212711,1,3,-2
SPY212712,1,3,-2
SPY212713,1,3,-2
SPY212715,1,2,-1
SPY212716,1,3,-2
SPY212717,1,3,-2
SPY212719,1,3,-2
SPY212756,1,3,-2
SPY212758,1,3,-2
SPY212759,1,3,-2
SPY211049,1,2,-1
SPY211050,1,2,-1
SPY211054,1,2,-1
SPY211055,1,1,0
SPY231669,2,0,2
SPY231670,2,0,2
SPY211059,3,0,3
SPY211060,3,0,3
SPY200806,3,2,1
SPY200807,3,3,0
SPY231887,3,1,2
SPY231888,3,0,3
SPY231660,3,0,3
SPY231661,3,0,3
SPY231662,3,1,2
SPY231663,3,0,3
SPY231664,3,1,2
