spygen_code,label,prediction,residual
SPY201963,0,1,-1
SPY201966,0,2,-2
SPY210636,0,2,-2
SPY210640,0,2,-2
SPY210641,0,2,-2
SPY210642,0,1,-1
SPY210696,0,1,-1
SPY210697,0,1,-1
SPY210698,0,0,0
SPY210699,0,1,-1
SPY210705,0,0,0
SPY210710,0,1,-1
SPY210712,0,0,0
SPY210713,0,1,-1
SPY210714,0,0,0
SPY210717,0,0,0
SPY210718,0,0,0
SPY210719,0,1,-1
SPY210720,0,0,0
SPY210721,0,0,0
SPY210722,0,0,0
SPY210723,0,2,-2
SPY210724,0,1,-1
SPY210727,0,0,0
SPY210728,0,0,0
SPY222967,0,1,-1
SPY222969,0,1,-1
SPY222977,0,1,-1
SPY231711,0,1,-1
SPY231712,0,1,-1
SPY231735,0,1,-1
SPY231736,0,1,-1
SPY231737,0,1,-1
SPY231738,0,1,-1
SPY231739,0,1,-1
SPY231740,0,1,-1
SPY231780,0,2,-2
SPY231781,0,1,-1
SPY231782,0,1,-1
SPY231783,0,1,-1
SPY231784,0,1,-1
SPY231785,0,1,-1
SPY231786,0,1,-1
SPY231787,0,1,-1
SPY231788,0,1,-1
SPY231789,0,1,-1
SPY231790,0,1,-1
SPY231791,0,2,-2
SPY231792,0,0,0
SPY231793,0,1,-1
SPY231795,0,1,-1
SPY231895,0,2,-2
SPY231896,0,2,-2
SPY231903,0,2,-2
SPY231904,0,2,-2
SPY231905,0,1,-1
SPY231906,0,1,-1
SPY232830,0,1,-1
SPY232831,0,1,-1
SPY201168,0,2,-2
SPY201170,0,1,-1
SPY201172,0,1,-1
SPY201185,0,1,-1
SPY210645,0,2,-2
SPY210657,0,1,-1
SPY210661,0,0,0
SPY210662,0,1,-1
SPY211268,0,1,-1
SPY211274,0,2,-2
SPY211278,0,1,-1
SPY211305,0,1,-1
SPY231891,0,2,-2
SPY231892,0,2,-2
SPY231741,0,0,0
SPY231742,0,0,0
SPY231743,0,1,-1
SPY231744,0,1,-1
SPY231865,0,1,-1
SPY231870,0,1,-1
SPY231871,0,1,-1
SPY231873,0,1,-1
SPY231874,0,1,-1
SPY231877,0,1,-1
SPY231878,0,1,-1
SPY231909,1,2,-1
SPY231910,1,3,-2
SPY210650,4,4,0
SPY201216,4,4,0
SPY201263,4,4,0
SPY210655,4,4,0
SPY210656,4,4,0
SPY210660,4,4,0
SPY231733,4,4,0
SPY231734,4,4,0
SPY222970,4,4,0
SPY222972,4,4,0
SPY222973,4,4,0
SPY222974,4,4,0
SPY181149,4,4,0
SPY181150,4,4,0
SPY231893,4,4,0
SPY231894,4,4,0
SPY201175,4,4,0
SPY201191,4,4,0
SPY202496,4,4,0
SPY202498,4,4,0
