"","spygen_code","habitat"
"1","SPY211045","coralligenous"
"2","SPY211046","coralligenous"
"3","SPY211049","coralligenous"
"4","SPY211050","coralligenous"
"5","SPY211052","coralligenous"
"6","SPY211056","coralligenous"
"7","SPY211058","coralligenous"
"8","SPY211064","coralligenous"
"9","SPY211069","coralligenous"
"10","SPY211070","coralligenous"
"11","SPY212588","coralligenous"
"12","SPY212589","coralligenous"
"13","SPY231885","coralligenous"
"14","SPY231886","coralligenous"
"15","SPY231891","coralligenous"
"16","SPY231892","coralligenous"
"17","SPY231893","coralligenous"
"18","SPY231894","coralligenous"
"19","SPY231897","coralligenous"
"20","SPY231898","coralligenous"
"21","SPY231899","coralligenous"
"22","SPY231900","coralligenous"
"23","SPY231903","coralligenous"
"24","SPY231904","coralligenous"
"25","SPY231909","coralligenous"
"26","SPY231910","coralligenous"
"27","SPY231911","coralligenous"
"28","SPY231912","coralligenous"
