spygen_code,habitat
SPY201956,MEADOW
SPY201957,MEADOW
SPY201958,NOT_DEFINED
SPY201963,MEADOW
SPY201964,MEADOW
SPY201965,MEADOW
SPY201966,MEADOW
SPY210636,MEADOW
SPY210640,MEADOW
SPY210641,SOFT_BOTTOM
SPY210642,SOFT_BOTTOM
SPY210645,MEADOW
SPY210646,NOT_DEFINED
SPY210650,MEADOW
SPY210655,MEADOW
SPY210656,MEADOW
SPY210657,MEADOW
SPY210658,MEADOW
SPY210659,MEADOW
SPY210660,MEADOW
SPY210661,MEADOW
SPY210662,MEADOW
SPY210663,MEADOW
SPY210664,MEADOW
SPY210665,MEADOW
SPY210666,MEADOW
SPY210667,MEADOW
SPY210668,MEADOW
SPY210669,MEADOW
SPY210670,MEADOW
SPY210673,MEADOW
SPY210674,MEADOW
SPY210675,MEADOW
SPY210676,MEADOW
SPY210677,MEADOW
SPY210678,MEADOW
SPY210679,MEADOW
SPY210680,MEADOW
SPY210681,MEADOW
SPY210682,MEADOW
SPY210683,MEADOW
SPY210684,MEADOW
SPY210685,MEADOW
SPY210686,MEADOW
SPY210687,MEADOW
SPY210688,MEADOW
SPY210689,MEADOW
SPY210690,MEADOW
SPY210691,MEADOW
SPY210692,MEADOW
SPY210693,MEADOW
SPY210694,MEADOW
SPY210695,MEADOW
SPY210696,MEADOW
SPY210697,MEADOW
SPY210698,MEADOW
SPY210699,MEADOW
SPY210700,MEADOW
SPY210701,MEADOW
SPY210702,MEADOW
SPY210703,MEADOW
SPY210704,MEADOW
SPY210705,MEADOW
SPY210706,MEADOW
SPY210707,MEADOW
SPY210708,MEADOW
SPY210709,MEADOW
SPY210710,MEADOW
SPY210711,MEADOW
SPY210712,MEADOW
SPY210713,MEADOW
SPY210714,MEADOW
SPY210715,MEADOW
SPY210716,MEADOW
SPY210717,MEADOW
SPY210718,MEADOW
SPY210719,MEADOW
SPY210720,MEADOW
SPY210721,MEADOW
SPY210722,MEADOW
SPY210724,MEADOW
SPY210725,MEADOW
SPY210726,MEADOW
SPY210727,MEADOW
SPY210728,MEADOW
SPY211044,MEADOW
SPY211047,MEADOW
SPY211053,MEADOW
SPY211056,HARD_BOTTOM
SPY211057,MEADOW
SPY211064,HARD_BOTTOM
SPY211262,NOT_DEFINED
SPY211273,NOT_DEFINED
SPY211277,NOT_DEFINED
