"spygen_code","set"
"SPY211053","train"
"SPY211057","train"
"SPY201149","train"
"SPY201151","train"
"SPY201176","train"
"SPY201177","train"
"SPY201179","train"
"SPY201193","train"
"SPY201956","train"
"SPY201957","train"
"SPY201963","validation"
"SPY201964","train"
"SPY201965","train"
"SPY201966","validation"
"SPY202492","train"
"SPY202499","train"
"SPY210636","validation"
"SPY210640","validation"
"SPY210641","validation"
"SPY210642","validation"
"SPY210647","train"
"SPY210652","train"
"SPY210667","train"
"SPY210668","train"
"SPY210669","train"
"SPY210672","train"
"SPY210673","train"
"SPY210674","train"
"SPY210675","train"
"SPY210677","train"
"SPY210678","train"
"SPY210695","train"
"SPY210696","train"
"SPY210697","train"
"SPY210698","train"
"SPY210699","train"
"SPY210700","train"
"SPY210701","train"
"SPY210702","train"
"SPY210703","train"
"SPY210704","train"
"SPY210705","train"
"SPY210706","train"
"SPY210707","train"
"SPY210708","train"
"SPY210709","train"
"SPY210710","train"
"SPY210711","train"
"SPY210712","validation"
"SPY210713","validation"
"SPY210714","validation"
"SPY210715","train"
"SPY210716","train"
"SPY210717","validation"
"SPY210718","validation"
"SPY210719","validation"
"SPY210720","validation"
"SPY210721","validation"
"SPY210722","validation"
"SPY210723","validation"
"SPY210724","validation"
"SPY210725","train"
"SPY210726","train"
"SPY210727","validation"
"SPY210728","validation"
"SPY212584","train"
"SPY212585","train"
"SPY212586","train"
"SPY212587","train"
"SPY222967","train"
"SPY222969","train"
"SPY222977","train"
"SPY231655","train"
"SPY231656","train"
"SPY231657","train"
"SPY231658","train"
"SPY231659","train"
"SPY231665","train"
"SPY231666","train"
"SPY231667","train"
"SPY231668","train"
"SPY231705","train"
"SPY231706","train"
"SPY231707","train"
"SPY231708","train"
"SPY231709","train"
"SPY231710","train"
"SPY231711","train"
"SPY231712","train"
"SPY231735","train"
"SPY231736","train"
"SPY231737","train"
"SPY231738","train"
"SPY231739","train"
"SPY231740","train"
"SPY231748","validation"
"SPY231749","validation"
"SPY231754","validation"
"SPY231755","validation"
"SPY231756","validation"
"SPY231757","validation"
"SPY231762","validation"
"SPY231763","validation"
"SPY231764","validation"
"SPY231765","validation"
"SPY231766","validation"
"SPY231767","validation"
"SPY231768","train"
"SPY231769","train"
"SPY231770","train"
"SPY231771","train"
"SPY231772","train"
"SPY231773","train"
"SPY231774","train"
"SPY231775","train"
"SPY231776","train"
"SPY231777","train"
"SPY231778","train"
"SPY231779","train"
"SPY231780","train"
"SPY231781","train"
"SPY231782","train"
"SPY231783","train"
"SPY231784","train"
"SPY231785","train"
"SPY231786","train"
"SPY231787","train"
"SPY231788","train"
"SPY231789","train"
"SPY231790","train"
"SPY231791","train"
"SPY231792","train"
"SPY231793","train"
"SPY231794","train"
"SPY231795","train"
"SPY231796","train"
"SPY231797","train"
"SPY231798","train"
"SPY231895","train"
"SPY231896","train"
"SPY231901","validation"
"SPY231902","validation"
"SPY231905","train"
"SPY231906","train"
"SPY231907","train"
"SPY231908","train"
"SPY231915","train"
"SPY231916","train"
"SPY232830","train"
"SPY232831","train"
"SPY232832","train"
"SPY232833","train"
"SPY232834","train"
"SPY232835","train"
"SPY223325","validation"
"SPY223333","validation"
"SPY224252","validation"
"SPY224256","validation"
"SPY201153","train"
"SPY201159","train"
"SPY201160","train"
"SPY201161","train"
"SPY201162","train"
"SPY201164","validation"
"SPY201166","train"
"SPY201167","train"
"SPY201168","train"
"SPY201169","train"
"SPY201170","train"
"SPY201171","train"
"SPY201172","train"
"SPY201180","train"
"SPY201185","train"
"SPY201186","train"
"SPY201190","train"
"SPY201958","validation"
"SPY202493","validation"
"SPY202494","train"
