"spygen_code","set"
"SPY211052","validation"
"SPY211053","validation"
"SPY211057","validation"
"SPY211058","validation"
"SPY201149","train"
"SPY201151","train"
"SPY201176","train"
"SPY201177","train"
"SPY201179","train"
"SPY201193","train"
"SPY201956","train"
"SPY201957","validation"
"SPY201963","validation"
"SPY201964","validation"
"SPY201965","train"
"SPY201966","validation"
"SPY202492","train"
"SPY202499","train"
"SPY210636","validation"
"SPY210640","validation"
"SPY210641","validation"
"SPY210642","validation"
"SPY210647","validation"
"SPY210652","validation"
"SPY210667","train"
"SPY210668","train"
"SPY210669","train"
"SPY210672","train"
"SPY210673","train"
"SPY210674","train"
"SPY210675","train"
"SPY210677","train"
"SPY210678","train"
"SPY210695","validation"
"SPY210696","validation"
"SPY210697","validation"
"SPY210698","validation"
"SPY210699","validation"
"SPY210700","validation"
"SPY210701","validation"
"SPY210702","validation"
"SPY210703","validation"
"SPY210704","validation"
"SPY210705","validation"
"SPY210706","validation"
"SPY210707","validation"
"SPY210708","validation"
"SPY210709","validation"
"SPY210710","validation"
"SPY210711","validation"
"SPY210712","validation"
"SPY210713","validation"
"SPY210714","validation"
"SPY210715","validation"
"SPY210716","validation"
"SPY210717","validation"
"SPY210718","validation"
"SPY210719","validation"
"SPY210720","validation"
"SPY210721","validation"
"SPY210722","validation"
"SPY210723","validation"
"SPY210724","validation"
"SPY210725","validation"
"SPY210726","validation"
"SPY210727","validation"
"SPY210728","validation"
"SPY212584","train"
"SPY212585","train"
"SPY212586","train"
"SPY212587","train"
"SPY222967","train"
"SPY222969","train"
"SPY222977","train"
"SPY231655","train"
"SPY231656","train"
"SPY231657","train"
"SPY231658","train"
"SPY231659","train"
"SPY231665","train"
"SPY231666","train"
"SPY231667","train"
"SPY231668","train"
"SPY231705","train"
"SPY231706","train"
"SPY231707","train"
"SPY231708","train"
"SPY231709","train"
"SPY231710","train"
"SPY231711","validation"
"SPY231712","validation"
"SPY231735","train"
"SPY231736","train"
"SPY231737","train"
"SPY231738","train"
"SPY231739","train"
"SPY231740","train"
"SPY231748","train"
"SPY231749","train"
"SPY231754","train"
"SPY231755","train"
"SPY231756","train"
"SPY231757","train"
"SPY231762","train"
"SPY231763","train"
"SPY231764","train"
"SPY231765","train"
"SPY231766","train"
"SPY231767","train"
"SPY231768","train"
"SPY231769","train"
"SPY231770","train"
"SPY231771","train"
"SPY231772","train"
"SPY231773","train"
"SPY231774","train"
"SPY231775","train"
"SPY231776","train"
"SPY231777","train"
"SPY231778","train"
"SPY231779","train"
"SPY231780","train"
"SPY231781","train"
"SPY231782","train"
"SPY231783","train"
"SPY231784","train"
"SPY231785","train"
"SPY231786","train"
"SPY231787","train"
"SPY231788","train"
"SPY231789","train"
"SPY231790","train"
"SPY231791","train"
"SPY231792","train"
"SPY231793","train"
"SPY231794","train"
"SPY231795","train"
"SPY231796","train"
"SPY231797","train"
"SPY231798","train"
"SPY231895","train"
"SPY231896","train"
"SPY231897","train"
"SPY231898","train"
"SPY231899","train"
"SPY231900","train"
"SPY231901","train"
"SPY231902","train"
"SPY231903","train"
"SPY231904","train"
"SPY231905","train"
"SPY231906","train"
"SPY231907","train"
"SPY231908","train"
"SPY231915","train"
"SPY231916","train"
"SPY232830","validation"
"SPY232831","validation"
"SPY232832","train"
"SPY232833","validation"
"SPY232834","validation"
"SPY232835","train"
"SPY223325","train"
"SPY223333","train"
"SPY224252","train"
"SPY224256","train"
"SPY201153","train"
"SPY201159","validation"
"SPY201160","train"
"SPY201161","train"
"SPY201162","train"
"SPY201164","train"
"SPY201166","validation"
"SPY201167","train"
"SPY201168","train"
"SPY201169","train"
"SPY201170","train"
"SPY201171","train"
"SPY201172","train"
"SPY201180","train"
"SPY201185","train"
"SPY201186","train"
"SPY201190","train"
"SPY201958","train"
"SPY202493","train"
"SPY202494","train"
"SPY202506","train"
"SPY202509","train"
"SPY202510","train"
"SPY202514","train"
"SPY202515","train"
"SPY210643","train"
"SPY210644","train"
"SPY210645","train"
"SPY210646","train"
"SPY210648","train"
"SPY210651","train"
"SPY210657","train"
"SPY210658","train"
"SPY210659","train"
"SPY210661","train"
"SPY210662","train"
"SPY210663","train"
"SPY210664","train"
"SPY210665","train"
"SPY210666","train"
"SPY210670","train"
"SPY210671","train"
"SPY210676","train"
"SPY210679","train"
"SPY210680","train"
"SPY210681","train"
"SPY210682","train"
"SPY210683","train"
"SPY210684","train"
"SPY210685","train"
"SPY210686","train"
"SPY210687","train"
"SPY210688","train"
"SPY210689","train"
"SPY210690","train"
"SPY210691","train"
"SPY210692","train"
"SPY210693","train"
"SPY210694","train"
"SPY211262","train"
"SPY211263","train"
"SPY211266","train"
"SPY211268","train"
"SPY211273","train"
"SPY211274","train"
"SPY211275","validation"
"SPY211277","train"
"SPY211278","train"
"SPY211279","train"
"SPY211280","train"
"SPY211282","validation"
"SPY211284","validation"
"SPY211285","train"
"SPY211286","train"
"SPY211289","train"
"SPY211290","train"
"SPY211299","train"
"SPY211300","train"
"SPY211301","train"
"SPY211302","train"
"SPY211303","train"
"SPY211304","train"
"SPY211305","train"
"SPY211306","validation"
"SPY211307","train"
"SPY211309","train"
"SPY211310","train"
"SPY211311","train"
"SPY212588","train"
"SPY212589","train"
"SPY231713","train"
"SPY231714","train"
"SPY231715","train"
"SPY231716","train"
"SPY231717","train"
"SPY231718","train"
"SPY231719","train"
"SPY231720","train"
"SPY231721","train"
"SPY231722","train"
"SPY231723","train"
"SPY231724","train"
"SPY231725","train"
"SPY231726","train"
"SPY231727","train"
"SPY231728","train"
"SPY231729","train"
"SPY231730","train"
"SPY231885","train"
"SPY231886","train"
"SPY231889","train"
"SPY231890","train"
"SPY231891","train"
"SPY231892","train"
"SPY211069","train"
"SPY211070","train"
"SPY211071","train"
"SPY211072","train"
"SPY211068","train"
"SPY211073","train"
"SPY231741","train"
"SPY231742","train"
"SPY231743","train"
"SPY231744","train"
"SPY231745","train"
"SPY231746","train"
"SPY231747","train"
"SPY231865","train"
"SPY231870","train"
"SPY231871","train"
"SPY231873","train"
"SPY231874","train"
"SPY231877","train"
"SPY231878","train"
"SPY181699","train"
"SPY192310","train"
"SPY201163","train"
"SPY211045","validation"
"SPY211046","validation"
"SPY211048","train"
"SPY211051","validation"
"SPY211062","train"
"SPY211063","validation"
"SPY211138","train"
"SPY211163","train"
"SPY211168","train"
"SPY211169","train"
"SPY211170","train"
"SPY211172","train"
"SPY211173","train"
"SPY211174","train"
"SPY211177","train"
"SPY211178","train"
"SPY211180","train"
"SPY211181","train"
"SPY211182","train"
"SPY211183","train"
"SPY211184","train"
"SPY212710","train"
"SPY212711","train"
"SPY212712","train"
"SPY212713","train"
"SPY212714","train"
"SPY212715","train"
"SPY212716","train"
"SPY212717","train"
"SPY212718","train"
"SPY212719","train"
"SPY212756","train"
"SPY212758","train"
"SPY212759","train"
"SPY211044","validation"
"SPY211047","validation"
"SPY211049","train"
"SPY211050","train"
"SPY211054","train"
"SPY211055","train"
"SPY231679","train"
"SPY231680","train"
"SPY231675","train"
"SPY231676","train"
"SPY231677","train"
"SPY231678","train"
"SPY231691","validation"
"SPY231692","validation"
"SPY231693","validation"
"SPY231694","validation"
"SPY231695","train"
"SPY231696","train"
"SPY231703","train"
"SPY231704","train"
"SPY231909","train"
"SPY231910","train"
"SPY231913","validation"
"SPY231914","validation"
"SPY211056","validation"
"SPY211064","validation"
"SPY201239","train"
"SPY201241","train"
"SPY231669","train"
"SPY231670","train"
"SPY231681","train"
"SPY231682","train"
"SPY231697","train"
"SPY231698","train"
"SPY201150","train"
"SPY201152","train"
"SPY201157","train"
"SPY201158","train"
"SPY231699","train"
"SPY231700","train"
"SPY231701","train"
"SPY231702","train"
"SPY231911","train"
"SPY231912","train"
"SPY201174","validation"
"SPY201181","validation"
"SPY201187","validation"
"SPY201192","validation"
"SPY201198","validation"
"SPY202491","validation"
"SPY202495","validation"
"SPY202500","validation"
"SPY231683","validation"
"SPY231684","validation"
"SPY231685","validation"
"SPY231686","validation"
"SPY231687","validation"
"SPY231688","validation"
"SPY231689","validation"
"SPY231690","validation"
"SPY231671","train"
"SPY231672","train"
"SPY231673","train"
"SPY231674","train"
"SPY231750","train"
"SPY231751","train"
"SPY231752","train"
"SPY231753","train"
"SPY211059","train"
"SPY211060","train"
"SPY200806","train"
"SPY200807","train"
"SPY231731","train"
"SPY231732","train"
"SPY210650","train"
"SPY201216","train"
"SPY201263","train"
"SPY210655","train"
"SPY210656","train"
"SPY210660","train"
"SPY231733","train"
"SPY231734","train"
"SPY231758","train"
"SPY231759","train"
"SPY222970","train"
"SPY222972","train"
"SPY222973","train"
"SPY222974","train"
"SPY181149","train"
"SPY181150","train"
"SPY231893","train"
"SPY231894","train"
"SPY231760","train"
"SPY231761","train"
"SPY201175","train"
"SPY201191","train"
"SPY202496","train"
"SPY202498","train"
"SPY201952","validation"
"SPY201962","validation"
"SPY210649","validation"
"SPY212768","validation"
"SPY200468","validation"
"SPY200474","validation"
"SPY201953","validation"
"SPY201961","validation"
"SPY210637","validation"
"SPY210654","validation"
"SPY212760","validation"
"SPY212762","validation"
"SPY212763","validation"
"SPY212764","validation"
"SPY212765","validation"
"SPY212766","validation"
"SPY212767","validation"
"SPY212769","validation"
"SPY231887","train"
"SPY231888","train"
"SPY231660","train"
"SPY231661","train"
"SPY231662","train"
"SPY231663","train"
"SPY231664","train"
