"spygen_code","set"
"SPY201168","train"
"SPY201170","train"
"SPY210641","train"
"SPY210642","train"
"SPY210651","train"
"SPY231655","train"
"SPY231656","train"
"SPY231657","train"
"SPY231658","train"
"SPY231659","train"
"SPY231660","train"
"SPY231661","train"
"SPY231662","train"
"SPY231663","train"
"SPY231664","train"
"SPY231665","train"
"SPY231666","train"
"SPY231667","train"
"SPY231668","train"
"SPY231669","train"
"SPY231670","train"
"SPY231671","train"
"SPY231672","train"
"SPY231673","train"
"SPY231674","train"
"SPY231675","train"
"SPY231676","train"
"SPY231677","train"
"SPY231678","train"
"SPY231679","train"
"SPY231680","train"
"SPY231681","train"
"SPY231682","train"
"SPY231683","train"
"SPY231684","train"
"SPY231685","train"
"SPY231686","train"
"SPY231687","train"
"SPY231688","train"
"SPY231689","train"
"SPY231690","train"
"SPY231691","train"
"SPY231692","train"
"SPY231693","train"
"SPY231694","train"
"SPY231695","train"
"SPY231696","train"
"SPY231697","train"
"SPY231698","train"
"SPY231699","train"
"SPY231700","train"
"SPY231701","train"
"SPY231702","train"
"SPY231703","train"
"SPY231704","train"
"SPY231705","train"
"SPY231706","train"
"SPY231707","train"
"SPY231708","train"
"SPY231709","train"
"SPY231710","train"
"SPY231711","train"
"SPY231712","train"
"SPY231713","train"
"SPY231714","train"
"SPY231715","train"
"SPY231716","train"
"SPY231717","train"
"SPY231718","train"
"SPY231719","train"
"SPY231720","train"
"SPY231721","train"
"SPY231722","train"
"SPY231723","train"
"SPY231724","train"
"SPY231725","train"
"SPY231726","train"
"SPY231727","train"
"SPY231728","train"
"SPY231729","train"
"SPY231730","train"
"SPY231731","train"
"SPY231732","train"
"SPY231733","train"
"SPY231734","train"
"SPY231743","train"
"SPY231744","train"
"SPY231745","train"
"SPY231746","train"
"SPY231747","train"
"SPY231748","train"
"SPY231749","train"
"SPY231750","train"
"SPY231751","train"
"SPY231752","train"
"SPY231753","train"
"SPY231754","train"
"SPY231755","train"
"SPY231756","train"
"SPY231757","train"
"SPY231758","train"
"SPY231759","train"
"SPY231760","train"
"SPY231761","train"
"SPY231762","train"
"SPY231763","train"
"SPY231764","train"
"SPY231765","train"
"SPY231766","train"
"SPY231767","train"
"SPY231768","train"
"SPY231769","train"
"SPY231772","train"
"SPY231773","train"
"SPY231782","train"
"SPY231783","train"
"SPY231784","train"
"SPY231785","train"
"SPY231786","train"
"SPY231787","train"
"SPY231788","train"
"SPY231789","train"
"SPY231790","train"
"SPY231791","train"
"SPY231792","train"
"SPY231793","train"
"SPY231798","train"
"SPY231735","validation"
"SPY231736","validation"
"SPY231737","validation"
"SPY231738","validation"
"SPY231739","validation"
"SPY231740","validation"
"SPY231741","validation"
"SPY231742","validation"
"SPY231770","validation"
"SPY231771","validation"
"SPY231774","validation"
"SPY231775","validation"
"SPY231776","validation"
"SPY231777","validation"
"SPY231778","validation"
"SPY231779","validation"
"SPY231780","validation"
"SPY231781","validation"
"SPY231794","validation"
"SPY231795","validation"
"SPY231796","validation"
"SPY231797","validation"
"SPY231865","validation"
"SPY231870","validation"
"SPY231871","validation"
"SPY231873","validation"
"SPY231874","validation"
"SPY231877","validation"
"SPY231878","validation"
