"spygen_code","set"
"SPY211052","train"
"SPY211053","train"
"SPY211057","train"
"SPY211058","train"
"SPY201957","train"
"SPY201963","train"
"SPY201964","train"
"SPY201966","train"
"SPY210636","train"
"SPY210640","train"
"SPY210641","train"
"SPY210642","train"
"SPY210696","train"
"SPY210697","train"
"SPY210698","train"
"SPY210699","train"
"SPY210701","train"
"SPY210702","train"
"SPY210703","train"
"SPY210704","train"
"SPY210705","train"
"SPY210706","train"
"SPY210707","train"
"SPY210708","train"
"SPY210709","train"
"SPY210710","train"
"SPY210711","train"
"SPY210712","train"
"SPY210713","train"
"SPY210714","train"
"SPY210716","train"
"SPY210717","train"
"SPY210718","train"
"SPY210719","train"
"SPY210720","train"
"SPY210721","train"
"SPY210722","train"
"SPY210723","train"
"SPY210724","train"
"SPY210725","train"
"SPY210726","train"
"SPY210727","train"
"SPY210728","train"
"SPY212584","train"
"SPY212585","train"
"SPY212586","train"
"SPY212587","train"
"SPY222967","train"
"SPY222969","train"
"SPY222977","train"
"SPY231711","train"
"SPY231712","train"
"SPY231735","train"
"SPY231736","train"
"SPY231737","train"
"SPY231738","train"
"SPY231739","train"
"SPY231740","train"
"SPY231748","train"
"SPY231749","train"
"SPY231754","train"
"SPY231755","train"
"SPY231756","train"
"SPY231757","train"
"SPY231762","train"
"SPY231763","train"
"SPY231764","train"
"SPY231765","train"
"SPY231766","train"
"SPY231767","train"
"SPY231768","train"
"SPY231769","train"
"SPY231770","train"
"SPY231771","train"
"SPY231772","train"
"SPY231773","train"
"SPY231780","train"
"SPY231781","train"
"SPY231782","train"
"SPY231783","train"
"SPY231784","train"
"SPY231785","train"
"SPY231786","train"
"SPY231787","train"
"SPY231788","train"
"SPY231789","train"
"SPY231790","train"
"SPY231791","train"
"SPY231792","train"
"SPY231793","train"
"SPY231795","train"
"SPY231895","train"
"SPY231896","train"
"SPY231897","train"
"SPY231898","train"
"SPY231899","train"
"SPY231900","train"
"SPY231901","train"
"SPY231902","train"
"SPY231903","train"
"SPY231904","train"
"SPY231905","train"
"SPY231906","train"
"SPY232830","train"
"SPY232831","train"
"SPY223325","train"
"SPY223333","train"
"SPY224252","train"
"SPY224256","train"
"SPY201153","train"
"SPY201159","train"
"SPY201160","train"
"SPY201161","train"
"SPY201162","train"
"SPY201164","train"
"SPY201166","train"
"SPY201167","train"
"SPY201168","train"
"SPY201170","train"
"SPY201171","train"
"SPY201172","train"
"SPY201180","train"
"SPY201185","train"
"SPY201186","train"
"SPY201190","train"
"SPY201958","train"
"SPY202493","train"
"SPY202494","train"
"SPY202510","train"
"SPY202515","train"
"SPY210643","train"
"SPY210644","train"
"SPY210645","train"
"SPY210646","train"
"SPY210648","train"
"SPY210651","train"
"SPY210657","train"
"SPY210658","train"
"SPY210659","train"
"SPY210661","train"
"SPY210662","train"
"SPY210663","train"
"SPY210664","train"
"SPY210665","train"
"SPY210666","train"
"SPY210670","train"
"SPY210671","train"
"SPY210681","train"
"SPY210682","train"
"SPY210684","train"
"SPY210685","train"
"SPY210686","train"
"SPY210687","train"
"SPY210688","train"
"SPY210689","train"
"SPY210690","train"
"SPY210691","train"
"SPY210692","train"
"SPY210693","train"
"SPY210694","train"
"SPY211263","train"
"SPY211266","train"
"SPY211268","train"
"SPY211274","train"
"SPY211275","train"
"SPY211278","train"
"SPY211279","train"
"SPY211280","train"
"SPY211282","train"
"SPY211284","train"
"SPY211285","train"
"SPY211286","train"
"SPY211289","train"
"SPY211290","train"
"SPY211299","train"
"SPY211300","train"
"SPY211301","train"
"SPY211302","train"
"SPY211303","train"
"SPY211304","train"
"SPY211305","train"
"SPY211306","train"
"SPY211307","train"
"SPY211309","train"
"SPY211310","train"
"SPY212588","train"
"SPY212589","train"
"SPY231713","train"
"SPY231714","train"
"SPY231715","train"
"SPY231716","train"
"SPY231717","train"
"SPY231718","train"
"SPY231719","train"
"SPY231720","train"
"SPY231721","train"
"SPY231722","train"
"SPY231723","train"
"SPY231724","train"
"SPY231725","train"
"SPY231726","train"
"SPY231727","train"
"SPY231728","train"
"SPY231729","train"
"SPY231730","train"
"SPY231885","train"
"SPY231886","train"
"SPY231889","train"
"SPY231890","train"
"SPY231891","train"
"SPY231892","train"
"SPY211069","train"
"SPY211070","train"
"SPY211071","train"
"SPY211072","train"
"SPY211068","train"
"SPY211073","train"
"SPY231741","train"
"SPY231742","train"
"SPY231743","train"
"SPY231744","train"
"SPY231745","train"
"SPY231746","train"
"SPY231747","train"
"SPY231865","train"
"SPY231870","train"
"SPY231871","train"
"SPY231873","train"
"SPY231874","train"
"SPY231877","train"
"SPY231878","train"
"SPY181699","train"
"SPY192310","train"
"SPY201163","train"
"SPY211045","train"
"SPY211046","train"
"SPY211048","train"
"SPY211051","train"
"SPY211062","train"
"SPY211063","train"
"SPY211138","train"
"SPY211163","train"
"SPY211168","train"
"SPY211169","train"
"SPY211170","train"
"SPY211172","train"
"SPY211173","train"
"SPY211174","train"
"SPY211177","train"
"SPY211178","train"
"SPY211180","train"
"SPY211181","train"
"SPY211182","train"
"SPY211183","train"
"SPY211184","train"
"SPY212710","train"
"SPY212711","train"
"SPY212712","train"
"SPY212713","train"
"SPY212714","train"
"SPY212715","train"
"SPY212716","train"
"SPY212717","train"
"SPY212718","train"
"SPY212719","train"
"SPY212756","train"
"SPY212758","train"
"SPY212759","train"
"SPY211044","train"
"SPY211047","train"
"SPY211049","train"
"SPY211050","train"
"SPY211054","train"
"SPY211055","train"
"SPY231679","train"
"SPY231680","train"
"SPY231675","train"
"SPY231676","train"
"SPY231677","train"
"SPY231678","train"
"SPY231691","train"
"SPY231692","train"
"SPY231693","train"
"SPY231694","train"
"SPY231909","train"
"SPY231910","train"
"SPY231913","train"
"SPY231914","train"
"SPY211056","train"
"SPY211064","train"
"SPY201239","train"
"SPY201241","train"
"SPY231681","train"
"SPY231682","train"
"SPY201174","train"
"SPY201181","train"
"SPY201187","train"
"SPY201192","train"
"SPY201198","train"
"SPY202491","train"
"SPY202495","train"
"SPY202500","train"
"SPY231683","train"
"SPY231684","train"
"SPY231685","train"
"SPY231686","train"
"SPY231687","train"
"SPY231688","train"
"SPY231689","train"
"SPY231690","train"
"SPY231671","train"
"SPY231672","train"
