"spygen_code","set"
"SPY201149","train"
"SPY201150","train"
"SPY201151","train"
"SPY201152","train"
"SPY201157","train"
"SPY201158","train"
"SPY201176","train"
"SPY201177","train"
"SPY201179","train"
"SPY201187","train"
"SPY201192","train"
"SPY201193","train"
"SPY201198","train"
"SPY202492","train"
"SPY202499","train"
"SPY202500","train"
"SPY210647","train"
"SPY210652","train"
"SPY210695","train"
"SPY210696","train"
"SPY210697","train"
"SPY210698","train"
"SPY210699","train"
"SPY210700","train"
"SPY210705","train"
"SPY210710","train"
"SPY231655","train"
"SPY231663","train"
"SPY231664","train"
"SPY231665","train"
"SPY231666","train"
"SPY231667","train"
"SPY231668","train"
"SPY231679","train"
"SPY231680","train"
"SPY231683","train"
"SPY231684","train"
"SPY231685","train"
"SPY231686","train"
"SPY231687","train"
"SPY231688","train"
"SPY231689","train"
"SPY231690","train"
"SPY231697","train"
"SPY231698","train"
"SPY231699","train"
"SPY231700","train"
"SPY231701","train"
"SPY231702","train"
"SPY231703","train"
"SPY231704","train"
"SPY231705","train"
"SPY231706","train"
"SPY231707","train"
"SPY231708","train"
"SPY231709","train"
"SPY231710","train"
"SPY231711","train"
"SPY231712","train"
"SPY231774","train"
"SPY231775","train"
"SPY231776","train"
"SPY231777","train"
"SPY231778","train"
"SPY231779","train"
"SPY231780","train"
"SPY231781","train"
"SPY231782","train"
"SPY231783","train"
"SPY231790","train"
"SPY231791","train"
"SPY231792","train"
"SPY231793","train"
"SPY231794","train"
"SPY231795","train"
"SPY231796","train"
"SPY231797","train"
"SPY231798","train"
"SPY231903","train"
"SPY231904","train"
"SPY231907","train"
"SPY231908","train"
"SPY231911","train"
"SPY231915","train"
"SPY231916","train"
"SPY232830","train"
"SPY232831","train"
"SPY232833","train"
"SPY232834","train"
"SPY201175","validation"
"SPY201191","validation"
"SPY202496","validation"
"SPY202498","validation"
"SPY231656","validation"
"SPY231657","validation"
"SPY231658","validation"
"SPY231659","validation"
"SPY231660","validation"
"SPY231661","validation"
"SPY231662","validation"
"SPY231677","validation"
"SPY231678","validation"
"SPY231784","validation"
"SPY231785","validation"
"SPY231786","validation"
"SPY231787","validation"
"SPY231788","validation"
"SPY231789","validation"
"SPY231905","validation"
"SPY231906","validation"
"SPY231909","validation"
"SPY231910","validation"
