"","spygen_code","habitat"
"1","SPY201149","meadow_rocks_sandy_bed"
"2","SPY201151","meadow_rocks_sandy_bed"
"3","SPY201176","meadow_rocks_sandy_bed"
"4","SPY201177","meadow_rocks_sandy_bed"
"5","SPY201179","meadow_rocks_sandy_bed"
"6","SPY201193","meadow_rocks_sandy_bed"
"7","SPY201956","meadow"
"8","SPY201965","meadow"
"9","SPY202492","meadow_rocks_sandy_bed"
"10","SPY202499","meadow_rocks_sandy_bed"
"11","SPY210647","meadow"
"12","SPY210652","meadow"
"13","SPY210667","meadow"
"14","SPY210668","meadow"
"15","SPY210669","meadow"
"16","SPY210672","meadow"
"17","SPY210673","meadow"
"18","SPY210674","meadow"
"19","SPY210675","meadow"
"20","SPY210677","meadow"
"21","SPY210678","meadow"
"22","SPY210695","meadow"
"23","SPY210700","meadow"
"24","SPY210715","meadow"
"25","SPY231655","sandy_bed"
"26","SPY231656","sandy_bed"
"27","SPY231657","sandy_bed"
"28","SPY231658","sandy_bed"
"29","SPY231659","sandy_bed"
"30","SPY231665","sandy_bed"
"31","SPY231666","sandy_bed"
"32","SPY231667","sandy_bed"
"33","SPY231668","sandy_bed"
"34","SPY231705","sandy_bed"
"35","SPY231706","sandy_bed"
"36","SPY231707","sandy_bed"
"37","SPY231708","sandy_bed"
"38","SPY231709","sandy_bed"
"39","SPY231710","sandy_bed"
"40","SPY231774","sandy_bed"
"41","SPY231775","sandy_bed"
"42","SPY231776","sandy_bed"
"43","SPY231777","sandy_bed"
"44","SPY231778","sandy_bed"
"45","SPY231779","sandy_bed"
"46","SPY231794","sandy_bed"
"47","SPY231796","sandy_bed"
"48","SPY231797","sandy_bed"
"49","SPY231798","sandy_bed"
"50","SPY231907","meadow"
"51","SPY231908","meadow"
"52","SPY231915","meadow"
"53","SPY231916","meadow"
"54","SPY232832","meadow"
"55","SPY232833","meadow"
"56","SPY232834","meadow"
"57","SPY232835","meadow"
"58","SPY201169","meadow"
"59","SPY202506","meadow"
"60","SPY202509","meadow"
"61","SPY202514","meadow"
"62","SPY210676","meadow"
"63","SPY210679","meadow"
"64","SPY210680","meadow"
