"","spygen_code","protection"
"1","SPY211045",1
"2","SPY211046",1
"3","SPY211049",1
"4","SPY211050",1
"5","SPY211052",0
"6","SPY211056",2
"7","SPY211058",0
"8","SPY211064",2
"9","SPY211069",0
"10","SPY211070",0
"11","SPY212588",0
"12","SPY212589",0
"13","SPY231885",0
"14","SPY231886",0
"15","SPY231891",0
"16","SPY231892",0
"17","SPY231893",4
"18","SPY231894",4
"19","SPY231897",0
"20","SPY231898",0
"21","SPY231899",0
"22","SPY231900",0
"23","SPY231903",0
"24","SPY231904",0
"25","SPY231909",1
"26","SPY231910",1
"27","SPY231911",2
"28","SPY231912",2
