"","spygen_code","protection"
"1","SPY201149",0
"2","SPY201151",0
"3","SPY201176",0
"4","SPY201177",0
"5","SPY201179",0
"6","SPY201193",0
"7","SPY201956",0
"8","SPY201965",0
"9","SPY202492",0
"10","SPY202499",0
"11","SPY210647",0
"12","SPY210652",0
"13","SPY210667",0
"14","SPY210668",0
"15","SPY210669",0
"16","SPY210672",0
"17","SPY210673",0
"18","SPY210674",0
"19","SPY210675",0
"20","SPY210677",0
"21","SPY210678",0
"22","SPY210695",0
"23","SPY210700",0
"24","SPY210715",0
"25","SPY231655",0
"26","SPY231656",0
"27","SPY231657",0
"28","SPY231658",0
"29","SPY231659",0
"30","SPY231665",0
"31","SPY231666",0
"32","SPY231667",0
"33","SPY231668",0
"34","SPY231705",0
"35","SPY231706",0
"36","SPY231707",0
"37","SPY231708",0
"38","SPY231709",0
"39","SPY231710",0
"40","SPY231774",0
"41","SPY231775",0
"42","SPY231776",0
"43","SPY231777",0
"44","SPY231778",0
"45","SPY231779",0
"46","SPY231794",0
"47","SPY231796",0
"48","SPY231797",0
"49","SPY231798",0
"50","SPY231907",0
"51","SPY231908",0
"52","SPY231915",0
"53","SPY231916",0
"54","SPY232832",0
"55","SPY232833",0
"56","SPY232834",0
"57","SPY232835",0
"58","SPY201169",0
"59","SPY202506",0
"60","SPY202509",0
"61","SPY202514",0
"62","SPY210676",0
"63","SPY210679",0
"64","SPY210680",0
"65","SPY210683",0
"66","SPY231695",1
"67","SPY231696",1
"68","SPY231703",1
"69","SPY231704",1
"70","SPY231669",2
"71","SPY231670",2
"72","SPY231697",2
"73","SPY231698",2
"74","SPY201150",2
"75","SPY201152",2
"76","SPY201157",2
"77","SPY201158",2
"78","SPY231699",2
"79","SPY231700",2
"80","SPY231701",2
"81","SPY231702",2
"82","SPY231911",2
"83","SPY231912",2
"84","SPY231660",4
"85","SPY231661",4
"86","SPY231662",4
"87","SPY231663",4
"88","SPY231664",4
"89","SPY231762",0
"90","SPY231763",0
"91","SPY231764",0
"92","SPY231765",0
"93","SPY231766",0
"94","SPY231767",0
"95","SPY231768",0
"96","SPY231769",0
"97","SPY231770",0
"98","SPY231771",0
"99","SPY231772",0
"100","SPY231773",0
"101","SPY231899",0
"102","SPY231900",0
"103","SPY231901",0
"104","SPY231902",0
"105","SPY201164",0
"106","SPY202493",0
"107","SPY202510",0
"108","SPY202515",0
"109","SPY210681",0
"110","SPY210682",0
"111","SPY210684",0
"112","SPY210685",0
"113","SPY210686",0
"114","SPY210687",0
"115","SPY210688",0
"116","SPY210690",0
"117","SPY210691",0
"118","SPY210692",0
"119","SPY210694",0
"120","SPY231885",0
"121","SPY231886",0
"122","SPY231691",1
"123","SPY231692",1
"124","SPY231693",1
"125","SPY231694",1
"126","SPY231913",1
"127","SPY231914",1
"128","SPY201174",2
"129","SPY201181",2
"130","SPY201187",2
"131","SPY201192",2
"132","SPY201198",2
"133","SPY202491",2
"134","SPY202495",2
"135","SPY202500",2
"136","SPY231683",2
"137","SPY231684",2
"138","SPY231685",2
"139","SPY231686",2
"140","SPY231687",2
"141","SPY231688",2
"142","SPY231689",2
"143","SPY231690",2
"144","SPY231760",4
"145","SPY231761",4
"146","SPY231887",4
"147","SPY231888",4
"148","SPY201963",0
"149","SPY201966",0
"150","SPY210636",0
"151","SPY210640",0
"152","SPY210641",0
"153","SPY210642",0
"154","SPY210696",0
"155","SPY210697",0
"156","SPY210698",0
"157","SPY210699",0
"158","SPY210705",0
"159","SPY210710",0
"160","SPY210712",0
"161","SPY210713",0
"162","SPY210714",0
"163","SPY210717",0
"164","SPY210718",0
"165","SPY210719",0
"166","SPY210720",0
"167","SPY210721",0
"168","SPY210722",0
"169","SPY210723",0
"170","SPY210724",0
"171","SPY210727",0
"172","SPY210728",0
"173","SPY231711",0
"174","SPY231712",0
"175","SPY231735",0
"176","SPY231736",0
"177","SPY231737",0
"178","SPY231738",0
"179","SPY231739",0
"180","SPY231740",0
"181","SPY231780",0
"182","SPY231781",0
"183","SPY231782",0
"184","SPY231783",0
"185","SPY231784",0
"186","SPY231785",0
"187","SPY231786",0
"188","SPY231787",0
"189","SPY231788",0
"190","SPY231789",0
"191","SPY231790",0
"192","SPY231791",0
"193","SPY231792",0
"194","SPY231793",0
"195","SPY231795",0
"196","SPY231895",0
"197","SPY231896",0
"198","SPY231903",0
"199","SPY231904",0
"200","SPY231905",0
"201","SPY231906",0
"202","SPY232830",0
"203","SPY232831",0
"204","SPY201168",0
"205","SPY201170",0
"206","SPY210645",0
"207","SPY210657",0
"208","SPY210661",0
"209","SPY210662",0
"210","SPY211274",0
"211","SPY211278",0
"212","SPY231891",0
"213","SPY231892",0
"214","SPY231741",0
"215","SPY231742",0
"216","SPY231743",0
"217","SPY231744",0
"218","SPY231865",0
"219","SPY231870",0
"220","SPY231871",0
"221","SPY231873",0
"222","SPY231874",0
"223","SPY231877",0
"224","SPY231878",0
"225","SPY231909",1
"226","SPY231910",1
"227","SPY210650",4
"228","SPY201216",4
"229","SPY201263",4
"230","SPY210655",4
"231","SPY210656",4
"232","SPY210660",4
"233","SPY231733",4
"234","SPY231734",4
"235","SPY231893",4
"236","SPY231894",4
"237","SPY201175",4
"238","SPY201191",4
"239","SPY202496",4
"240","SPY202498",4
"241","SPY201957",0
"242","SPY201964",0
"243","SPY210701",0
"244","SPY210702",0
"245","SPY210703",0
"246","SPY210704",0
"247","SPY210706",0
"248","SPY210707",0
"249","SPY210708",0
"250","SPY210709",0
"251","SPY210711",0
"252","SPY210716",0
"253","SPY210725",0
