"","spygen_code","protection"
"1","SPY201168",0
"2","SPY201170",0
"3","SPY210641",0
"4","SPY210642",0
"5","SPY210651",0
"6","SPY231655",0
"7","SPY231656",0
"8","SPY231657",0
"9","SPY231658",0
"10","SPY231659",0
"11","SPY231660",4
"12","SPY231661",4
"13","SPY231662",4
"14","SPY231663",4
"15","SPY231664",4
"16","SPY231665",0
"17","SPY231666",0
"18","SPY231667",0
"19","SPY231668",0
"20","SPY231669",2
"21","SPY231670",2
"22","SPY231671",2
"23","SPY231672",2
"24","SPY231673",2
"25","SPY231674",2
"26","SPY231675",1
"27","SPY231676",1
"28","SPY231677",1
"29","SPY231678",1
"30","SPY231679",1
"31","SPY231680",1
"32","SPY231681",2
"33","SPY231682",2
"34","SPY231683",2
"35","SPY231684",2
"36","SPY231685",2
"37","SPY231686",2
"38","SPY231687",2
"39","SPY231688",2
"40","SPY231689",2
"41","SPY231690",2
"42","SPY231691",1
"43","SPY231692",1
"44","SPY231693",1
"45","SPY231694",1
"46","SPY231695",1
"47","SPY231696",1
"48","SPY231697",2
"49","SPY231698",2
"50","SPY231699",2
"51","SPY231700",2
"52","SPY231701",2
"53","SPY231702",2
"54","SPY231703",1
"55","SPY231704",1
"56","SPY231705",0
"57","SPY231706",0
"58","SPY231707",0
"59","SPY231708",0
"60","SPY231709",0
"61","SPY231710",0
"62","SPY231711",0
"63","SPY231712",0
"64","SPY231713",0
"65","SPY231714",0
"66","SPY231715",0
"67","SPY231716",0
"68","SPY231717",0
"69","SPY231718",0
"70","SPY231719",0
"71","SPY231720",0
"72","SPY231721",0
"73","SPY231722",0
"74","SPY231723",0
"75","SPY231724",0
"76","SPY231725",0
"77","SPY231726",0
"78","SPY231727",0
"79","SPY231728",0
"80","SPY231729",0
"81","SPY231730",0
"82","SPY231731",4
"83","SPY231732",4
"84","SPY231733",4
"85","SPY231734",4
"86","SPY231735",0
"87","SPY231736",0
"88","SPY231737",0
"89","SPY231738",0
"90","SPY231739",0
"91","SPY231740",0
"92","SPY231741",0
"93","SPY231742",0
"94","SPY231743",0
"95","SPY231744",0
"96","SPY231745",0
"97","SPY231746",0
"98","SPY231747",0
"99","SPY231748",0
"100","SPY231749",0
"101","SPY231750",3
"102","SPY231751",3
"103","SPY231752",3
"104","SPY231753",3
"105","SPY231754",0
"106","SPY231755",0
"107","SPY231756",0
"108","SPY231757",0
"109","SPY231758",4
"110","SPY231759",4
"111","SPY231760",4
"112","SPY231761",4
"113","SPY231762",0
"114","SPY231763",0
"115","SPY231764",0
"116","SPY231765",0
"117","SPY231766",0
"118","SPY231767",0
"119","SPY231768",0
"120","SPY231769",0
"121","SPY231770",0
"122","SPY231771",0
"123","SPY231772",0
"124","SPY231773",0
"125","SPY231774",0
"126","SPY231775",0
"127","SPY231776",0
"128","SPY231777",0
"129","SPY231778",0
"130","SPY231779",0
"131","SPY231780",0
"132","SPY231781",0
"133","SPY231782",0
"134","SPY231783",0
"135","SPY231784",0
"136","SPY231785",0
"137","SPY231786",0
"138","SPY231787",0
"139","SPY231788",0
"140","SPY231789",0
"141","SPY231790",0
"142","SPY231791",0
"143","SPY231792",0
"144","SPY231793",0
"145","SPY231794",0
"146","SPY231795",0
"147","SPY231796",0
"148","SPY231797",0
"149","SPY231798",0
"150","SPY231865",0
"151","SPY231870",0
"152","SPY231871",0
"153","SPY231873",0
"154","SPY231874",0
"155","SPY231877",0
"156","SPY231878",0
