spygen_code,label,prediction,residual,prob_pos,domain_true,domain_pred,domain_correct
SPY211052,0,0,0,2.460270043247448e-10,0,2,0
SPY211053,0,0,0,6.691489602417278e-07,2,2,1
SPY211057,0,0,0,2.7611856694420567e-06,2,2,1
SPY211058,0,0,0,5.046262074870356e-09,0,2,0
SPY212584,0,0,0,3.078826239288901e-06,6,2,0
SPY212585,0,0,0,2.9236138843202752e-08,6,2,0
SPY212586,0,0,0,6.946027860976756e-05,6,2,0
SPY212587,0,0,0,2.336159241167479e-06,6,2,0
SPY201153,0,0,0,1.5515974283175638e-08,7,10,0
SPY201162,0,0,0,8.777310540608596e-07,7,10,0
SPY211299,0,0,0,0.03616800904273987,7,10,0
SPY211303,0,0,0,0.02867366559803486,7,10,0
SPY212588,0,0,0,0.13179358839988708,0,10,0
SPY212589,0,0,0,0.30483171343803406,0,10,0
SPY211068,0,0,0,0.47838810086250305,2,10,0
SPY211073,0,0,0,0.4818143844604492,2,10,0
SPY181699,1,1,0,0.7423688769340515,6,10,0
SPY192310,1,1,0,0.8023601770401001,6,10,0
SPY201163,1,1,0,0.5711828470230103,6,10,0
SPY211048,1,1,0,0.7962645292282104,2,10,0
SPY211062,1,1,0,0.7902796268463135,2,10,0
SPY211138,1,1,0,0.8304824233055115,8,10,0
SPY211163,1,0,-1,0.37662994861602783,6,10,0
SPY211168,1,0,-1,0.3606756925582886,6,10,0
SPY211169,1,0,-1,0.36205145716667175,6,10,0
SPY211170,1,1,0,0.8921995162963867,6,10,0
SPY211172,1,0,-1,0.369193971157074,6,10,0
SPY211173,1,0,-1,0.39612799882888794,6,10,0
SPY211174,1,1,0,0.9129753112792969,6,10,0
SPY211177,1,0,-1,0.3256549835205078,6,10,0
SPY211178,1,1,0,0.5610228180885315,6,10,0
SPY211180,1,1,0,0.6308188438415527,6,10,0
SPY211181,1,0,-1,0.42989128828048706,6,10,0
SPY211182,1,1,0,0.7855286002159119,6,10,0
SPY211183,1,1,0,0.8729792833328247,6,10,0
SPY211184,1,0,-1,0.49899590015411377,6,10,0
SPY212710,1,1,0,0.9113006591796875,6,10,0
SPY212711,1,1,0,0.8601168394088745,6,10,0
SPY212712,1,1,0,0.9272058010101318,6,10,0
SPY212713,1,1,0,0.9521130323410034,6,10,0
SPY212714,1,1,0,0.5136703848838806,6,10,0
SPY212715,1,1,0,0.8693382143974304,6,10,0
SPY212716,1,1,0,0.8883966207504272,6,10,0
SPY212717,1,1,0,0.87556391954422,6,10,0
SPY212718,1,1,0,0.5694493651390076,6,10,0
SPY212719,1,1,0,0.8132075071334839,6,10,0
SPY212756,1,1,0,0.9207485914230347,6,10,0
SPY212758,1,1,0,0.9168975949287415,6,10,0
SPY212759,1,1,0,0.8875207304954529,6,10,0
SPY211049,1,1,0,0.7799495458602905,0,10,0
SPY211050,1,1,0,0.8309628367424011,0,10,0
SPY211054,1,1,0,0.912910521030426,2,10,0
SPY211055,1,1,0,0.9547263979911804,2,10,0
SPY231679,1,1,0,0.7350188493728638,10,10,1
SPY231680,1,1,0,0.7841712236404419,10,10,1
SPY231675,1,1,0,0.8067261576652527,10,10,1
SPY231676,1,1,0,0.8039597272872925,10,10,1
SPY231677,1,1,0,0.8222525119781494,10,10,1
SPY231678,1,1,0,0.8247390389442444,10,10,1
SPY211056,1,1,0,0.8925483822822571,0,10,0
SPY211064,1,1,0,0.9407517313957214,0,10,0
SPY231681,1,0,-1,0.4537294805049896,10,10,1
SPY231682,1,1,0,0.8767092823982239,10,10,1
SPY231671,1,1,0,0.937289834022522,10,10,1
SPY231672,1,1,0,0.939657986164093,10,10,1
SPY231673,1,1,0,0.9411909580230713,10,10,1
SPY231674,1,1,0,0.9329619407653809,10,10,1
SPY211059,1,1,0,0.9714974164962769,2,10,0
SPY211060,1,1,0,0.9750075340270996,2,10,0
SPY201952,1,1,0,0.9924569129943848,6,10,0
SPY201962,1,1,0,0.9916642904281616,6,10,0
SPY210649,1,1,0,0.9974428415298462,3,10,0
SPY212768,1,1,0,0.9779626727104187,3,10,0
SPY200468,1,1,0,0.9837852716445923,6,10,0
SPY200474,1,1,0,0.9927903413772583,6,10,0
SPY201953,1,1,0,0.9922983050346375,3,10,0
SPY201961,1,1,0,0.9893980026245117,6,10,0
SPY210637,1,1,0,0.9914788603782654,6,10,0
SPY210654,1,1,0,0.9976956248283386,3,10,0
SPY212760,1,1,0,0.9947475790977478,6,10,0
SPY212762,1,1,0,0.9962911605834961,3,10,0
SPY212763,1,1,0,0.9946966171264648,3,10,0
SPY212764,1,1,0,0.9924565553665161,3,10,0
SPY212765,1,1,0,0.9950594902038574,6,10,0
SPY212766,1,1,0,0.9987654685974121,3,10,0
SPY212767,1,1,0,0.9917935729026794,6,10,0
SPY212769,1,1,0,0.9921829104423523,6,10,0
