spygen_code,label,prediction,residual
SPY231669,2,1,1
SPY231670,2,1,1
SPY231671,2,1,1
SPY231672,2,1,1
SPY231673,2,1,1
SPY231674,2,2,0
SPY231675,1,2,-1
SPY231676,1,2,-1
SPY231697,2,2,0
SPY231698,2,2,0
SPY231699,2,0,2
SPY231700,2,1,1
SPY231701,2,0,2
SPY231702,2,2,0
SPY231703,1,0,1
SPY231704,1,0,1
SPY231705,0,0,0
SPY231706,0,0,0
SPY231707,0,0,0
SPY231708,0,0,0
SPY231709,0,0,0
SPY231710,0,0,0
SPY231711,0,0,0
SPY231712,0,0,0
SPY231771,0,0,0
SPY231772,0,0,0
SPY231773,0,0,0
SPY231774,0,0,0
SPY231775,0,0,0
SPY231776,0,0,0
SPY231777,0,0,0
SPY231778,0,0,0
SPY231779,0,0,0
SPY231780,0,0,0
SPY231781,0,0,0
SPY231782,0,0,0
SPY231783,0,0,0
SPY231784,0,0,0
SPY231785,0,0,0
SPY231786,0,0,0
SPY231787,0,0,0
SPY231788,0,0,0
SPY231789,0,0,0
SPY231790,0,0,0
SPY231791,0,0,0
SPY231792,0,0,0
SPY231793,0,0,0
SPY231795,0,0,0
