spygen_code,label,prediction,residual
SPY201150,2,1,1
SPY201152,2,0,2
SPY201157,2,0,2
SPY201158,2,0,2
SPY201176,0,1,-1
SPY201179,0,0,0
SPY202492,0,1,-1
SPY202499,0,1,-1
SPY210696,0,0,0
SPY210698,0,0,0
SPY210699,0,0,0
SPY210705,0,0,0
SPY210710,0,0,0
SPY231667,0,2,-2
SPY231668,0,2,-2
SPY231679,1,1,0
SPY231680,1,1,0
SPY231699,2,1,1
SPY231700,2,1,1
SPY231701,2,1,1
SPY231702,2,2,0
SPY231703,1,1,0
SPY231704,1,1,0
SPY231705,0,0,0
SPY231706,0,1,-1
SPY231907,0,0,0
SPY231908,0,0,0
SPY231911,2,1,1
SPY232830,0,0,0
SPY232831,0,0,0
